出貨/銷退日(C10),客戶編號,產品料號,淨銷售量(交易),銷售淨額(本幣/未稅)
2024/01/02,B3047,K0301003,2,2080
2024/01/02,B3047,K0301022,2,4000
2024/01/02,B3222,B0203001,12,3480
2024/01/02,B3222,I0599042,2,640
2024/01/02,B3390,M0101003,12,2076
2024/01/02,B3390,R1104,1,190
2024/01/02,B3413,B0401001,12,4320
2024/01/02,B3425,A0202005,20,3200
2024/01/02,B3442,D0401009,4,3280
2024/01/02,B3475,A0102005,1,1450
2024/01/02,B3475,I0101025,1,680
2024/01/02,B3475,R1100,1,95
2024/01/02,B3479,B0401001,36,11880
2024/01/02,B3495,C0199010,1,220
2024/01/02,B3495,D0102009,1,1800
2024/01/02,B3495,R1100,1,95
2024/01/02,B3557,I0101024,36,22320
2024/01/02,B3577,C0199021,3,6450
2024/01/02,B3585,B0202001,1,390
2024/01/02,B3604,I0599042,6,1920
2024/01/02,B3604,J0109041,1,1200
2024/01/02,B3604,K0101061,2,1710
2024/01/02,B3629,D9999005,1,840
2024/01/02,B3629,G0103009,7,3533
2024/01/02,B3629,H0601022,5,11000
2024/01/02,B3629,I0101004,1,500
2024/01/02,B3629,I0404031,2,290
2024/01/02,B3629,J0109008,3,1950
2024/01/02,B3665,B0904001,4,1600
2024/01/02,B3665,C0107004,6,3360
2024/01/02,B3665,H0305002,1,270
2024/01/02,B3665,H0305005,1,490
2024/01/02,B3665,J0399067,1,250
2024/01/02,B3665,J0499025,1,244
2024/01/02,B3665,J0499030,1,350
2024/01/02,B3665,J0599005,3,960
2024/01/02,B3709,A0101013,2,3900
2024/01/02,B3718,A0102009,3,4200
2024/01/02,B3758,B0401001,36,12960
2024/01/02,B3798,A0102001,2,2740
2024/01/02,B3798,G0601007,3,4800
2024/01/02,B3807,A0101001,2,2920
2024/01/02,B3807,A0101003,5,6850
2024/01/02,B3807,A0105004,2,290
2024/01/02,B3807,A0399049,2,456
2024/01/02,B3807,B0401001,3,1080
2024/01/02,B3807,D0206001,1,1250
2024/01/02,B3807,D9999005,1,840
2024/01/02,B3807,H0601010,1,4000
2024/01/02,B3807,I0599010,2,900
2024/01/02,B3807,I0699004,2,1100
2024/01/02,B3807,L0102003,5,975
2024/01/02,B3807,L0102004,1,195
2024/01/02,B3888,A0111002,1,1100
2024/01/02,B3888,A0111006,2,4000
2024/01/02,B3888,A0111023,5,6000
2024/01/02,B3888,F0301010,1,370
2024/01/02,B3888,H0301002,2,330
2024/01/02,B3888,H0301004,3,330
2024/01/02,B3888,H0399002,2,180
2024/01/02,B3888,H0399023,2,190
2024/01/02,B3888,H0399045,2,420
2024/01/02,B3888,J0109041,1,1200
2024/01/02,B3888,L0102001,1,130
2024/01/02,B3888,L0102003,1,195
2024/01/02,B3909,A0399049,1,240
2024/01/02,B3909,H0301029,2,1180
2024/01/02,B3909,M0101002,24,4080
2024/01/02,B3911,A0111023,1,1300
2024/01/02,B3911,G0103020,2,1040
2024/01/02,B3911,R1116,0,0
2024/01/02,B4002,A0102003,3,4830
2024/01/02,B4002,A0102005,1,1450
2024/01/02,B4012,B0401001,12,4320
2024/01/02,B4062,I0507011,0,0
2024/01/02,B4062,I0507012,0,0
2024/01/02,B4091,C0199021,3,6300
2024/01/02,B4092,C0199021,7,14700
2024/01/02,B4107,A0102027,3,4200
2024/01/02,B4210,B0401001,12,4320
2024/01/02,B4232,D9999005,1,840
2024/01/02,B4232,G0103009,2,1010
2024/01/02,B4232,I0599018,1,310
2024/01/02,B4232,K0101178,2,800
2024/01/02,B4259,M0101003,24,3840
2024/01/02,B4281,C0199017,6,10680
2024/01/02,B4385,D0103012,2,1850
2024/01/02,B4385,H0303012,20,1600
2024/01/02,B4385,J0303004,4,2200
2024/01/02,B4402,B0401001,96,27840
2024/01/02,B4443,B0401001,12,4320
2024/01/02,B4443,D0699001,0,0
2024/01/02,B4443,I0404016,2,1280
2024/01/02,B4446,B0401003,100,280000
2024/01/02,B4500,H0105001,1,4700
2024/01/02,B4510,I0404031,16,3040
2024/01/02,B4592,D0102009,1,1400
2024/01/02,B4592,D0206002,4,4000
2024/01/02,B4592,H0303012,20,1600
2024/01/02,B4592,J0303003,6,3390
2024/01/02,B4592,N9901003,3,1920
2024/01/02,B4617,I0503008,1,475
2024/01/02,B4617,J0101008,2,1640
2024/01/02,B4617,J0499025,6,1890
2024/01/02,B4632,G0601007,3,4800
2024/01/02,B4654,B0401001,12,4320
2024/01/02,B4664,J0302001,2,1143
2024/01/02,B4667,B0199009,10,8400
2024/01/02,B4667,H0101031,1,600
2024/01/02,B4667,H0301030,1,630
2024/01/02,B4667,I0203005,1,1400
2024/01/02,B4677,J0101001,3,1335
2024/01/02,B4677,J0101003,2,2860
2024/01/02,B4677,J0101018,1,600
2024/01/02,B4701,A0101001,1,1530
2024/01/02,B4701,A0101007,2,3500
2024/01/02,B4701,A0102003,1,1610
2024/01/02,B4715,B0401001,4,1440
2024/01/02,B4715,D0199001,2,608
2024/01/02,B4715,G0101015,1,523
2024/01/02,B4715,R1107,0,0
2024/01/02,B4787,D0199020,3,561
2024/01/02,B4787,G0502001,1,2200
2024/01/02,B4787,I0101008,3,1800
2024/01/02,B4838,A0111002,1,1100
2024/01/02,B4838,B0203001,2,600
2024/01/02,B4838,B0301027,2,960
2024/01/02,B4838,F0101018,5,4000
2024/01/02,B4838,H0101016,1,4600
2024/01/02,B4838,J0303003,1,565
2024/01/02,B4956,A0111002,1,900
2024/01/02,B4956,B0904001,1,400
2024/01/02,B4956,D0103012,1,925
2024/01/02,B4956,I0507004,4,768
2024/01/02,B4956,I0507007,5,1000
2024/01/02,B4956,L0203001,1,900
2024/01/02,B4956,L0299002,4,800
2024/01/02,B4971,B0401001,12,4320
2024/01/02,B5003,A0101003,2,2900
2024/01/02,B5003,J0201001,3,720
2024/01/02,B5046,D9999023,2,1500
2024/01/02,B5046,H0108002,1,1500
2024/01/02,B5046,J9999045,2,780
2024/01/02,B5103,H0101017,7,2940
2024/01/02,B5131,C0199021,2,4300
2024/01/02,B5165,C0199010,-2,-440
2024/01/02,B5168,B0401001,72,24480
2024/01/02,B5168,I0404011,4,1440
2024/01/02,B5181,A0105004,5,750
2024/01/02,B5181,B0104008,1,3300
2024/01/02,B5181,G0602042,1,1300
2024/01/02,B5191,B0401001,5,2100
2024/01/02,B5191,H0101030,2,1300
2024/01/02,B5191,I0599024,2,3000
2024/01/02,B5203,L0302006,17,36125
2024/01/02,B5239,C0104017,1,648
2024/01/02,B5239,J0499025,1,315
2024/01/02,B5239,J0499030,4,1060
2024/01/02,B5239,K0101187,1,2900
2024/01/02,B5239,K0101202,4,1020
2024/01/02,B5239,N0802003,2,960
2024/01/02,B5240,A0101001,1,1530
2024/01/02,B5240,E0202005,1,20
2024/01/02,B5240,H0101009,1,330
2024/01/02,B5240,I0503002,5,1750
2024/01/02,B5240,J0201003,1,135
2024/01/02,B5240,L0102003,2,390
2024/01/02,B5240,M0101001,1,318
2024/01/02,B5240,R1116,0,0
2024/01/02,B5248,D9999002,2,260
2024/01/02,B5248,K0101078,1,1650
2024/01/02,B5248,R1100,1,95
2024/01/02,B5272,J0399065,12,6120
2024/01/02,B5272,J0499027,6,1830
2024/01/02,B5274,E0102006,1,1045
2024/01/02,B5274,G0601023,1,1300
2024/01/02,B5274,J0201007,4,868
2024/01/02,B5274,J0499032,3,480
2024/01/02,B5274,J0499039,2,182
2024/01/02,B5274,J0499059,3,486
2024/01/02,B5274,K0101149,1,480
2024/01/02,B5274,K0101184,3,300
2024/01/02,B5274,M0501003,8,13680
2024/01/02,B5274,M0501016,4,6660
2024/01/02,B5274,M0501071,2,3420
2024/01/02,B5274,M0503105,9,16200
2024/01/02,B5274,M0503131,5,8100
2024/01/02,B5293,C0104011,3,1714
2024/01/02,B5293,C0104013,1,571
2024/01/02,B5293,C0199018,1,1860
2024/01/02,B5307,J0604001,1,2250
2024/01/02,B5307,R1116,0,0
2024/01/02,B5320,A0101007,1,1750
2024/01/02,B5320,F0301010,10,3700
2024/01/02,B5320,G0502001,1,2200
2024/01/02,B5320,K0101035,2,310
2024/01/02,B5326,A0101009,1,1948
2024/01/02,B5326,R1107,0,0
2024/01/02,B5345,B0401001,10,3600
2024/01/02,B5415,A0111002,1,1100
2024/01/02,B5415,D9999002,3,390
2024/01/02,B5415,R1116,0,0
2024/01/02,B5434,A0102005,1,1450
2024/01/02,B5434,G0601018,2,3640
2024/01/02,B5435,B0401001,2,840
2024/01/02,B5435,I0507004,12,2304
2024/01/02,B5443,C0104013,1,571
2024/01/02,B5443,R1116,0,0
2024/01/02,B5450,B0199009,5,4950
2024/01/02,B5450,C0199018,2,3720
2024/01/02,B5450,C0199019,2,3180
2024/01/02,B5450,H0101017,2,840
2024/01/02,B5450,H0105003,1,570
2024/01/02,B5450,M0501116,2,2760
2024/01/02,B5450,R1110,0,0
2024/01/02,B5450,R1111,0,0
2024/01/02,B5472,A0105008,1,1950
2024/01/02,B5472,D0206002,1,1000
2024/01/02,B5472,E0101011,1,900
2024/01/02,B5472,H0101024,1,290
2024/01/02,B5481,B0401001,6,2057
2024/01/02,B5481,F0301010,2,705
2024/01/02,B5481,G0601007,1,1524
2024/01/02,B5481,G0601023,1,1300
2024/01/02,B5481,H0101017,3,1286
2024/01/02,B5481,H0101024,2,580
2024/01/02,B5481,H0102004,2,480
2024/01/02,B5481,H0105002,2,1020
2024/01/02,B5481,R1110,0,0
2024/01/02,B5488,L0203001,1,900
2024/01/02,B5535,J0201001,6,1440
2024/01/02,B5535,R1100,1,95
2024/01/02,B5575,H0101035,4,4200
2024/01/02,B5575,I0102017,1,1400
2024/01/02,B5599,D9999005,1,840
2024/01/02,B5599,G0103009,6,3029
2024/01/02,B5599,H0601022,5,11000
2024/01/02,B5599,I0101004,0,40
2024/01/02,B5599,I0404031,2,290
2024/01/02,B5599,J0109008,2,1300
2024/01/02,B5637,C0107001,2,1460
2024/01/02,B5637,J0101003,2,2860
2024/01/02,B5637,N0199013,4,1500
2024/01/02,B5664,A0311001,1,400
2024/01/02,B5664,A0314011,2,100
2024/01/02,B5664,C0199019,1,1590
2024/01/02,B5664,E0101007,1,170
2024/01/02,B5664,E0101013,1,200
2024/01/02,B5664,E0301001,1,140
2024/01/02,B5664,E0301002,1,160
2024/01/02,B5664,H0109002,1,450
2024/01/02,B5664,J0399018,1,110
2024/01/02,B5664,J0501001,1,960
2024/01/02,B5664,K0101187,1,2900
2024/01/02,B5678,B0401001,24,8640
2024/01/02,B5678,F0401033,1,2800
2024/01/02,B5678,H0103002,3,2190
2024/01/02,B5678,I0404007,3,870
2024/01/02,B5678,J0201012,3,870
2024/01/02,B5682,E0102006,1,1100
2024/01/02,B5682,R1116,0,0
2024/01/02,B5722,A0101009,1,2050
2024/01/02,B5722,G0602067,2,1400
2024/01/02,B5725,K0101147,6,3300
2024/01/02,B5731,I0404035,6,1680
2024/01/02,B5731,R1116,0,0
2024/01/02,B5752,B0401001,12,4320
2024/01/02,B5773,I0503002,3,1050
2024/01/02,B5773,M0101003,8,1384
2024/01/02,B5785,C0199021,2,4300
2024/01/02,B5802,J0302001,10,6400
2024/01/02,B5811,E0101002,60,6900
2024/01/02,B5811,J0499015,6,8400
2024/01/02,B5811,J0499023,24,9360
2024/01/02,B5811,J0499030,12,2760
2024/01/02,B5818,H0305002,1,270
2024/01/02,B5818,J0499009,1,750
2024/01/02,B5820,C0199019,2,3180
2024/01/02,B5820,D0101009,2,180
2024/01/02,B5820,F0301010,1,370
2024/01/02,B5830,E0202005,3,54
2024/01/02,B5830,R1116,0,0
2024/01/02,B5834,B0401001,2,640
2024/01/02,B5834,C0107001,2,1460
2024/01/02,B5834,D0206004,2,2120
2024/01/02,B5834,G0103009,2,1010
2024/01/02,B5834,I0404031,1,145
2024/01/02,B5834,K0101094,2,380
2024/01/02,B5834,K0101210,1,13050
2024/01/02,B5838,K0101035,7,1085
2024/01/02,B5892,A0202011,3,330
2024/01/02,B5892,C0199019,1,1590
2024/01/02,B5892,C0199021,1,2150
2024/01/02,B5905,A0101003,2,2750
2024/01/02,B5905,J9999045,1,390
2024/01/02,B5905,M0101002,10,1700
2024/01/02,B5905,P0102003,1,195
2024/01/02,B5950,E0101011,-1,-900
2024/01/02,B5970,K0201167,1,355
2024/01/02,B5970,R1116,0,0
2024/01/02,B6016,H0101016,1,4200
2024/01/02,B6016,I0102004,2,4800
2024/01/02,B6023,P0109005,4,9960
2024/01/02,B6023,P0109006,1,5150
2024/01/02,B6023,P0109008,3,2820
2024/01/02,B6023,P0109010,3,3300
2024/01/02,B6023,P0109013,1,1520
2024/01/02,B6027,J0201007,5,1300
2024/01/02,B6027,J0201008,5,1325
2024/01/02,B6027,K0201066,1,1550
2024/01/02,B6030,A0105004,3,450
2024/01/02,B6030,L0103001,2,100
2024/01/02,B6030,R1116,0,0
2024/01/02,B6038,D9999005,5,4200
2024/01/02,B6038,J0501001,1,960
2024/01/02,B6043,B0199009,5,4950
2024/01/02,C1148,G0601007,2,3000
2024/01/02,C1195,G0603004,12,4920
2024/01/02,C1195,H0301031,3,1800
2024/01/02,C1205,H0101031,6,3600
2024/01/02,C1335,A0102001,3,3950
2024/01/02,C1366,D0101009,50,3350
2024/01/02,C1366,D0101010,50,3350
2024/01/02,C1370,D0199020,20,3740
2024/01/02,C1370,J0699010,2,2160
2024/01/02,C1370,K0101061,1,855
2024/01/02,C1370,K0101078,1,1650
2024/01/02,C1370,R1111,0,0
2024/01/02,C1413,A0101003,2,3000
2024/01/02,C1413,A0102009,2,2800
2024/01/02,C1419,D0401009,1,820
2024/01/02,C1419,R1100,1,95
2024/01/02,C1424,A0105004,32,4800
2024/01/02,C1424,G0601007,1,1524
2024/01/02,C1424,L0102002,2,300
2024/01/02,C1424,R1107,0,0
2024/01/02,C1428,A0101001,10,15300
2024/01/02,C1428,B0401001,0,0
2024/01/02,C1516,G0602042,1,1300
2024/01/02,C1516,I0404007,6,1500
2024/01/02,C1516,I0503006,8,3200
2024/01/02,C1531,M0101002,24,3792
2024/01/02,C1532,D9999002,19,2470
2024/01/02,C1532,I0503006,5,2000
2024/01/02,C1532,R1104,1,190
2024/01/02,C1533,A0102001,60,75000
2024/01/02,C1533,G0601007,1,1600
2024/01/02,C1583,I0101011,2,1260
2024/01/02,C1656,D0101009,5,450
2024/01/02,C1656,I0204004,2,480
2024/01/02,C1656,N9901030,300,3000
2024/01/02,C1728,A0101003,3,4500
2024/01/02,C1728,J0201001,2,480
2024/01/02,C1757,A0102007,1,1550
2024/01/02,C1757,A0311001,15,6000
2024/01/02,C1757,D0699004,20,1200
2024/01/02,C1757,D9999005,2,1680
2024/01/02,C1760,B0401001,12,4320
2024/01/02,C1818,A0102001,2,2740
2024/01/02,C1818,A0105004,1,150
2024/01/02,C1818,D0199001,2,640
2024/01/02,C1818,I0299040,1,1050
2024/01/02,C1818,M0101004,12,4440
2024/01/02,C1818,M0401005,1,3000
2024/01/02,C1868,D0102009,2,2800
2024/01/02,C1868,D0199001,1,320
2024/01/02,C1970,A0101001,3,4590
2024/01/02,C1970,A0102001,3,4110
2024/01/02,C1995,A0101003,2,2900
2024/01/02,C1995,A0102001,2,2640
2024/01/02,C1995,L0302005,1,2857
2024/01/02,C1999,A0102001,3,4110
2024/01/02,C2048,A0101001,3,4590
2024/01/02,C2048,A0101007,1,1750
2024/01/02,C2048,A0311001,2,800
2024/01/02,C2077,A0301012,4,600
2024/01/02,C2077,A0311001,8,3200
2024/01/02,C2077,D0102009,1,1800
2024/01/02,C2102,C0104011,1,571
2024/01/02,C2102,C0104012,1,171
2024/01/02,C2102,C0104013,1,571
2024/01/02,C2102,I0404035,2,500
2024/01/02,C2102,J0109006,2,940
2024/01/02,C2102,N9901078,10,400
2024/01/02,C2102,N9904006,10,400
2024/01/02,C2121,G0502001,1,2200
2024/01/02,C2121,R1107,0,0
2024/01/02,C2241,A0102003,1,1610
2024/01/02,C2241,A0102009,1,1400
2024/01/02,C2241,B0401001,12,4320
2024/01/02,C2241,H0399001,1,105
2024/01/02,C2241,L0102002,0,0
2024/01/02,C2285,H0401022,4,3200
2024/01/02,C2285,J0101001,2,890
2024/01/02,C2322,J0604001,1,2143
2024/01/02,C2323,D9999005,6,5040
2024/01/02,C2334,N1201001,3,1800
2024/01/02,C2344,C0199017,6,10680
2024/01/02,C2353,A0101003,1,1500
2024/01/02,C2353,A0102009,1,1400
2024/01/02,C2404,A0102003,1,1610
2024/01/02,C2404,R1100,1,95
2024/01/02,C2422,A0102005,1,1450
2024/01/02,C2422,F0301010,10,3238
2024/01/02,C2422,G0601001,1,1950
2024/01/02,C2439,M0101001,12,3480
2024/01/02,C2457,J0303003,1,565
2024/01/02,C2457,M0101002,3,510
2024/01/02,C2457,N9901030,100,1000
2024/01/02,C2457,N9901078,20,800
2024/01/02,C2539,A0101009,1,1948
2024/01/02,C2539,D0102009,1,1800
2024/01/02,C2553,A0101001,3,4590
2024/01/02,C2553,A0101007,1,1750
2024/01/02,C2553,A0102001,1,1370
2024/01/02,C2553,A0105004,1,150
2024/01/02,C2553,B0301001,1,720
2024/01/02,C2553,B0301026,1,585
2024/01/02,C2553,K0201014,1,355
2024/01/02,C2553,M0401001,2,1300
2024/01/02,C2672,A0111002,15,16429
2024/01/02,C2693,A0102001,3,3960
2024/01/02,C2693,A0314001,2,44
2024/01/02,C2693,D0103004,80,1520
2024/01/02,C2693,D0104002,20,660
2024/01/02,C2693,D0199001,5,1500
2024/01/02,C2693,D0601002,20,820
2024/01/02,C2693,E0202005,20,360
2024/01/02,C2693,G0401004,4,1200
2024/01/02,C2693,M0101002,24,3792
2024/01/02,C2696,A0102001,1,1370
2024/01/02,C2696,A0102009,1,1400
2024/01/02,C2696,B0904001,2,800
2024/01/02,C2696,D0301004,1,125
2024/01/02,C2729,A0102003,6,9360
2024/01/02,C2729,A0102009,2,2700
2024/01/02,C2729,E0202005,20,400
2024/01/02,C2729,F0102003,6,3000
2024/01/02,C2729,L0201001,1,175
2024/01/02,C2756,G0502002,2,1980
2024/01/02,C2787,I0503018,5,6350
2024/01/02,C2858,I0101004,2,1040
2024/01/02,C2858,I0101009,2,1040
2024/01/02,C2858,K0101146,0,0
2024/01/02,C2938,A0201006,1,350
2024/01/02,C2938,J0101018,2,1160
2024/01/02,C2938,J0201001,4,960
2024/01/02,C2938,J0201007,2,520
2024/01/02,C2938,J0201008,1,265
2024/01/02,C2938,J0201012,4,1040
2024/01/02,C2938,J0501002,3,1320
2024/01/02,C2938,J0599005,4,1280
2024/01/02,C2938,K0101042,1,350
2024/01/02,C2938,K0101162,1,620
2024/01/02,C2938,K0101174,1,243
2024/01/02,C2938,M0101008,1,455
2024/01/02,C2938,R1111,0,0
2024/01/02,C2976,A0199023,1,1450
2024/01/02,C2976,L0199009,1,1800
2024/01/02,C2984,B0401001,24,8640
2024/01/02,C2984,D0101009,10,900
2024/01/02,C2984,I0699002,1,1000
2024/01/02,C2984,R1111,0,0
2024/01/02,C3034,G0101015,6,3300
2024/01/02,C3049,N0301003,2,9000
2024/01/02,C3051,E0202005,3,54
2024/01/02,C3051,R1116,0,0
2024/01/02,C3076,A0202011,60,5400
2024/01/02,C3076,G0601001,3,5400
2024/01/02,C3076,K0101192,12,21600
2024/01/02,C3100,C0107002,3,2520
2024/01/02,C3100,G0601001,4,8000
2024/01/02,C3115,J0501002,1,440
2024/01/02,C3121,A0102005,2,2900
2024/01/02,C3121,A0102009,2,2800
2024/01/02,C3139,C0199017,20,35600
2024/01/02,C3146,M0101001,24,6960
2024/01/02,C3150,B0199014,60,14400
2024/01/02,C3156,I0699007,1,440
2024/01/02,C3156,R1100,1,95
2024/01/02,C3158,D0206001,1,1250
2024/01/02,C3158,N0301072,1,1500
2024/01/02,C3158,N0301074,2,3000
2024/01/02,C3160,D0102004,1,180
2024/01/02,C3160,R1116,0,0
2024/01/02,C3161,A0399049,15,3600
2024/01/02,C3178,C0199019,2,3180
2024/01/02,C3194,I0507013,1,300
2024/01/02,C3194,I0507014,1,250
2024/01/02,C3194,R1107,0,0
2024/01/02,D1103,A0105004,1,150
2024/01/02,D1103,A0105008,5,9750
2024/01/02,D1103,A0105010,7,10150
2024/01/02,D1103,A0105012,7,11550
2024/01/02,D1103,A0105014,2,4200
2024/01/02,D1103,B0401001,3,1080
2024/01/02,D1103,C0107002,2,1680
2024/01/02,D1103,D0104002,100,3600
2024/01/02,D1103,D9999005,1,840
2024/01/02,D1103,F0102003,1,500
2024/01/02,D1103,F0301010,2,740
