品號 | SKU,品名 | Product Name,規格 | Specification,庫存單位 | Inventory Units,商品級別 | Product Grade,品牌類別 | Brand Category,保存天數 | Storage Days,備貨型態 | Inventory type,儲存溫層 | Storage temperature layer,失效日期 | Expiry Date
A0111015,布瑟T150法國小麥全麥粉1KG,1KG分裝,包,S+級,布瑟,365,常備,低溫,
A0111016,布瑟T130裸麥粉1KG,1KG分裝,包,S+級,布瑟,365,分裝,低溫,
A0111017,布瑟T170裸麥粉1KG,1KG分裝,包,S+級,布瑟,365,分裝,低溫,
A0111018,布瑟T85斯佩耳特1KG,1KG分裝,包,S+級,布瑟,365,分裝,低溫,
A0111020,布瑟T55GRUAU小麥粉5KG,廠商樣品,包,S+級,布瑟,365,客訂,低溫,
A0111021,布瑟T55GRUAU小麥粉25KG,25KG/包,包,S+級,布瑟,365,客訂,低溫,
A0111022,布瑟T65傳統紅標25KG,25KG/包,包,S+級,布瑟,270,常備,低溫,
A0111023,布瑟T65法國小麥粉25KG,25KG/包,包,S+級,布瑟,365,常備,低溫,
A0111024,布瑟T80小麥粉5KG,廠商樣品,包,S+級,布瑟,360,樣品,常溫,
A0111025,布瑟T150全麥粉,25KG,包,S+級,布瑟,365,客訂,常溫,
A0111026,布瑟特製披薩小麥粉5KG,廠商樣品,包,S+級,布瑟,180,樣品,常溫,
A0111027,布瑟T150全麥粉,1KG,包,S+級,布瑟,365,常備,常溫,
A0112001,橫山製粉北海道產穗之力,25KG/包,包,P級,橫山製粉,270,常備,常溫,
A0112002,橫山製粉北海道產春戀,25KG/包,包,P級,橫山製粉,270,常備,常溫,
A0112003,橫山製粉北海道產小麥粉MD,25KG/包,包,P級,橫山製粉,270,常備,常溫,
A0112004,橫山製粉北海道產夢中麥,25KG/包,包,P級,橫山製粉,270,常備,常溫,
A0199002,蘭記泰和中筋22K,22KG/包,包,C級,台灣麵粉,90,客訂,常溫,
A0199006,和發綠蘿蔔烏龍麵專用粉22K,22KG/包,包,C級,台灣麵粉,90,常備,常溫,
A0199023,大陽製粉海地石臼裸麥粉10K,10KG/包,包,A級,大陽製粉,180,常備,常溫,
A0199025,NS-CB小麥粉-樣品,22.5KG/包,包,,,90,客訂,常溫,
A0199036,橫山製粉北海道產舞雪,25kg/袋,袋,C級,橫山製粉,180,樣品,常溫,
A0201003,(泰)日清甜甜圈預拌粉22.5K,22.5KG/包,包,B級,日清Foods,365,常備,常溫,
A0201004,日清炸豬排沾粉1KG,1KG/10包/箱,包,B級,日清Foods,365,客訂,常溫,
A0201006,日清唐揚炸雞粉（乾）,1KG/10包/箱,包,B級,日清Foods,530,常備,常溫,
A0201008,日清酥炸風味粉(濕)新配方,1KG/10包/箱,包,B級,日清Foods,365,客訂,常溫,
A0201009,金子半之助專用天婦羅預拌粉,20KG/包,包,B級,日清Foods,240,停售,常溫,
A0201010,日清186P甜甜圈預拌粉,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0202001,昭和銀牌天婦羅粉20K,20KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0202002,昭和銀牌天婦羅粉10K,10KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0202003,昭和銀牌天婦羅粉1K,1KG分裝,KG,S+級,昭和產業,180,分裝,常溫,
A0202005,昭和鬆餅預拌粉1K,1KG/10包/箱 不零售,包,S+級,昭和產業,365,常備,常溫,
A0202010,昭和108大判燒預拌粉(108專用),10KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0202011,昭和天婦羅EX 700G,700G/20包/箱,包,S+級,昭和產業,450,常備,常溫,
A0202012,昭和天婦羅職人1KG,1KG/10包/箱,包,S+級,昭和產業,365,客訂,常溫,
A0204011,富士商事水信玄餅粉,(500Gx2包)x16盒/箱,包,C級,富士商事,730,常備,常溫,
A0204012,北原產業粉末寒天4gx5,4gx5/袋；10袋/盒；10盒/箱,袋,C級,北原產業,730,客訂,常溫,
A0299007,SOFT1000吐司預拌粉,500G/20包/箱,包,S級,FOODHOOD自製品牌,365,客訂,常溫,
A0299008,波堤預拌粉,5KG/4包/箱,包,S級,FOODHOOD自製品牌,365,客訂,常溫,
A0299014,千層預拌粉,5KG/4包/箱,包,S級,FOODHOOD自製品牌,180,客訂,常溫,
A0299016,銀座仁志川專用預拌粉15KG,15KG/包,包,,,240,客訂PB,常溫,
A0301001,食用級玫瑰牌樹薯澱粉 20KG(字體綠色),20KG/包,包,B級,傳統特殊用粉,730,常備,常溫,
A0301012,片栗粉1K,1KG/12包/箱,包,B級,日式食材調類,720,常備,常溫,
A0306003,日穀製粉蕎麥粉(花粉)10K,10KG/2包/件,包,B級,日穀製粉,150,客訂,常溫,
A0306005,日穀製粉蕎麥粉(金壽-雪)20K,20KG/包,包,B級,日穀製粉,150,客訂,常溫,
A0306007,日穀製粉蕎麥粉(金壽-月)20K,20KG/包,包,B級,日穀製粉,120,客訂,常溫,
A0306009,布瑟蕎麥粉25KG,25KG/包,包,S+級,布瑟,365,客訂,低溫,
A0306010,布瑟蕎麥粉1KG,1KG分裝,包,S+級,布瑟,365,常備,低溫,
A0306011,日穀製粉蕎麥粉(龜壽-月),20KG/包,包,B級,日穀製粉,150,客訂,常溫,
A0306012,十八麥石磨式蕎麥粉(甜蕎),600G±1.5%/20包/箱,包,C級,中都,365,客訂,常溫,
A0306013,日穀製粉蕎麥粉(金壽-雪)1K,1KG/包（分裝）,包,B級,日穀製粉,120,客訂,常溫,
A0306014,日穀製粉蕎麥粉(蕎麥之華),20KG/包,包,B級,日穀製粉,120,客訂,常溫,
A0310001,日清燒菓子專用粉10K,10KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0311001,前原製粉白玉粉(櫻)1K,1KG/15包/箱,包,C級,前原製粉,531,常備,常溫,
A0312001,前原製粉上新粉1K,1KG/10包/箱,包,C級,前原製粉,525,常備,常溫,
A0313006,FOODHOOD新鮮油炸用麵包粉,1KG/8包/箱,包,S級,FOODHOOD自製品牌,180,常備,冷凍,
A0314001,東星玉米粉450G,450G/35包/箱,包,B級,傳統特殊用粉,365,常備,常溫,
A0314006,(麵廠用)台榮玉米澱粉25K,25KG/包,包,B級,傳統特殊用粉,730,庫存售完後停售,常溫,
A0314010,玉米粉(細)25KG,25KG/包,包,B級,傳統特殊用粉,1095,常備,常溫,
A0314011,玉米粉(細)1KG,1KG/包,包,B級,傳統特殊用粉,1095,常備,常溫,
A0316001,樂斯福酸麵種風味粉F200(小麥) 10KG,10KG/袋,袋,S+級,燕子牌,540,常備,常溫,
A0316002,樂斯福酸麵種風味粉BD100(杜蘭小麥)10KG,10KG/袋,袋,S+級,燕子牌,540,常備,常溫,
A0399011,富山米麩400G,400G/28包/箱 成箱出貨,包,B級,傳統特殊用粉,365,客訂,常溫,
A0399019,MITAKE本葛粉100G,100G/30包/箱,包,B級,日式食材調類,730,客訂,常溫,
A0399020,MITAKE本葛粉1KG,1KG/12包/箱,包,B級,日式食材調類,730,常備,常溫,
A0399029,創味經典上湯調味粉,500g/12入/箱,包,B級,創味,540,客訂,常溫,
A0399030,創味經典上湯調味粉,50g/20入/箱,包,B級,創味,540,客訂,常溫,
A0399031,MCLS蛋白質粉,25KG/包,包,A級,MCLS,730,常備,常溫,
A0399032,MCLS蛋白質粉1KG,1KG分裝,KG,A級,MCLS,730,分裝,常溫,
A0399033,AGC-1 蛋白質粉,20KG/包,包,A級,MCLS,365,客訂,常溫,
A0399034,AGC-1 蛋白質粉 1KG,1KG分裝,KG,A級,MCLS,365,客訂,常溫,
A0399045,蛋白粉EAP-HG(PM),1KG/20包/箱,包,B級,西式食材調類,1440,客訂,常溫,
A0399046,Manildra蛋白質粉 75%,25KG/包,包,C級,,730,樣品,常溫,
A0399047,Manildra蛋白質粉25kg,25KG/包,包,A級,MCLS,730,客訂PB,常溫,
A0399048,Aviko馬鈴薯雪片粉12.5KG,12.5KG/包,包,B級,西式食材調類,540,常備,常溫,
A0399049,Aviko馬鈴薯雪片粉1KG,1KG/包,包,B級,西式食材調類,540,常備,常溫,
B0104006,Campina無水奶油10KG,10KG/箱,箱,A級,Campina,730,庫存售完後停售,冷凍,
B0104009,菲仕蘭乳酪絲(單色),1KG/12包/箱,包,A級,Campina,365,客訂,冷凍,
B0104010,菲仕蘭莫扎里拉乾酪10KG,10KG/箱,箱,A級,Campina,540,客訂,冷凍,
B0104012,菲仕蘭莫扎里拉乾酪20KG/箱,10KG/2包/箱 成箱銷售,箱,A級,Campina,730,客訂,冷凍,
B0104013,荷蘭皇家菲仕蘭發酵奶油25KG,25KG/箱,箱,A級,Campina,730,常備,冷凍,
B0104014,荷蘭皇家菲仕蘭發酵奶油10KG,10KG/箱,箱,A級,Campina,730,常備,冷凍,
B0104015,荷蘭皇家菲仕蘭片狀奶油,2KG/5片/箱,箱,A級,Campina,730,常備,冷凍,
B0104016,荷蘭皇家菲仕蘭無水奶油,10KG/箱,箱,A級,Campina,730,客訂,冷凍,
B0108001,UDA美國無鹽奶油,25KG/箱,箱,P級,UDA,540,PM推廣,冷凍,
B0199009,法國蒙太古Montaigu發酵奶油片2KG,2KG/5片/箱  成箱出貨不可零售,片,S+級,Montaigu,365,常備,冷凍,
B0199014,法國蒙太古Montaigu發酵塊狀奶油500G,500G/20塊/箱,塊,S+級,Montaigu,365,常備,冷凍,
B0202001,MG奶油乳酪2K,2KG/6條/箱,條,C級,MG,450,常備,冷藏,
B0202002,MG奶油乳酪10K,10KG/箱,箱,C級,MG,450,客訂,冷藏,
B0203001,燈塔牌奶油乳酪1K,1KG/12條/箱,條,C級,燈塔,365,常備,冷藏,
B0204001,BUKO丹麥奶油乳酪1.8KG,1.8KG/6條/箱,條,B級,乳製品類,300,常備,冷藏,
B0205001,LUXE北海道鮮奶油乾酪,1KG/12盒/箱,盒,S+級,北海道乳業,365,常備,冷藏,
B0299004,藏王Cream Cheese乾酪2K,2K/6包/箱,包,C級,藏王,120,常備,冷藏,
B0299005,藏王Cream Cheese乾酪500G,500G/12盒/箱,盒,C級,藏王,120,客訂,冷藏,
B0301001,荷蘭梵谷切丁乾酪1K,1K/12包/箱,包,B級,乳製品類,365,客訂,冷凍,
B0301006,富華高達粒狀乾酪-IQF 1KG,1KG/12包/箱,包,B級,乳製品類,365,客訂,冷凍,
B0301008,荷蘭高達切片乳酪500G,500G/盒,盒,B級,乳製品類,40,客訂,冷藏,
B0301026,現磨硬質帕瑪森乳酪中粒粉1K,1KG/12包/箱,包,B級,乳製品類,180,常備,冷藏,
B0301027,KIRI吉利奶油乾酪1K,1KG/12條/箱,條,B級,KIRI,270,常備,冷藏,
B0301052,紅切達切片乳酪500G,500G/包,包,B級,乳製品類,40,客訂,冷藏,
B0301078,FOODHOOD高達起司絲,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0301079,FOODHOOD艾曼達起司絲,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0301080,FOODHOOD雙重濃起司粉,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0301081,FOODHOOD100%莫扎瑞拉乳酪絲,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0301082,FOODHOOD雙色乳酪絲,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0301083,FOODHOOD極選單色乳酪絲,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0301084,FOODHOOD 莫扎瑞拉乳酪片,1KG/12包/箱,包,S級,FOODHOOD自製品牌,90,PM推廣,冷藏,
B0301085,FOODHOOD 高熔點乳酪丁,1KG/12包/箱,包,S級,FOODHOOD自製品牌,180,PM推廣,冷藏,
B0401002,中澤奶霜 5KG,5KG/箱,桶,S+級,中澤乳業,75,客訂,冷藏,
B0401003,中澤奶霜 10KG,10KG/箱,桶,S+級,中澤乳業,75,客訂,冷藏,
B0401004,中澤北海道純生鮮奶油35 1L,1L/12瓶/箱,瓶,S+級,中澤乳業,17,客訂,冷藏,
B0401005,中澤北海道純生鮮奶油47 1L,1L/12瓶/箱,瓶,S+級,中澤乳業,17,客訂,冷藏,
B0401006,中澤北海道純生鮮奶油40 1L,1L/12瓶/箱,瓶,S+級,中澤乳業,17,客訂,冷藏,
B0401007,中澤奶霜K+ 1L,1L/12瓶/箱,瓶,S+級,中澤乳業,75,常備,冷藏,
B0401008,中澤K+1L-樣品,1L,瓶,C級,中澤乳業,90,樣品,冷藏,
B0403001,總統牌動物性鮮奶油35.1%1L,1L/6罐/箱,罐,B級,乳製品類,270,常備,冷藏,
B0404001,FOODHOOD 北海道中澤即用奶霜,400G/10支/箱,支,S級,FOODHOOD自製品牌,365,PM推廣,冷凍,
B0409001,法國蒙太古Montaigu動物性鮮奶油1L(UHT),1L/6瓶/箱,瓶,S+級,Montaigu,180,樣品,冷藏,
B0501001,中澤霜淇淋原料液(原味)1L,1L/12罐/箱,罐,S+級,中澤乳業,547,常備,冷凍,
B0601001,安佳全脂奶粉25KG,25KG/包,包,C級,安佳,730,常備,常溫,
B0601002,安佳全脂奶粉1KG,1KG,KG,C級,安佳,730,常備,常溫,
B0601003,安佳脫脂奶粉25KG,25KG/包,包,C級,安佳,730,常備,常溫,
B0601004,安佳脫脂奶粉1KG,1KG/包,包,C級,安佳,730,常備,常溫,
B0901004,烏鶖煉奶3.64KG,3.64KG/6罐/箱,罐,C級,烏鶖,365,常備,常溫,
B0904001,北海道煉乳1KG,1KG/12罐/箱,罐,B級,乳製品類,180,常備,常溫,
B1001002,Oatly燕麥奶(咖啡師),1000ml/6罐/箱,罐,C級,Oatly,365,常備,常溫,
C0102001,美食家沙拉油18L,18L/桶,桶,C級,美食家,365,常備,常溫,
C0104010,O-Med精選特級初榨橄欖油250ML,250ML/24罐/箱,罐,S+級,O-Med,730,常備,常溫,
C0104011,O-Med精選特級初榨橄欖油1000ML,1000ML/9罐/箱,罐,S+級,O-Med,730,常備,常溫,
C0104012,O-Med阿貝金納特級初榨橄欖油250ML,250ML/24罐/箱,罐,S+級,O-Med,730,常備,常溫,
C0104013,O-Med阿貝金納特級初榨橄欖油1000ML,1000ML/9罐/箱,罐,S+級,O-Med,730,常備,常溫,
C0104016,O-Med煙燻風味橄欖油250ML,250ML/9罐/箱,罐,S+級,O-Med,730,常備,常溫,
C0104017,O-Med柚香橄欖油250ML,250ML/9罐/箱,罐,S+級,O-Med,730,常備,常溫,
C0104018,O-Med阿貝金納特級初榨橄欖油500ML,500ML/9罐/箱,罐,S+級,O-Med,730,客訂,常溫,
C0104019,O-Med精選特級初榨橄欖油500ML,500ML/9罐/箱,罐,S+級,O-Med,730,客訂,常溫,
C0104020,康迪薩特級初榨橄欖油250ML,250ML/6罐/箱,罐,S+級,O-Med,730,客訂,常溫,
C0104022,O-Med柚香橄欖油40ML,40ML/12瓶/箱,罐,S+級,O-Med,730,樣品,低溫,
C0104023,O-Med精選特級初榨橄欖油40ML,40ML/12瓶/箱,罐,S+級,O-Med,730,樣品,低溫,
C0104024,O-Med阿貝金納特級初榨橄欖油40ML,40ML/12瓶/箱,罐,S+級,O-Med,730,樣品,低溫,
