報價日期,報價單號,客戶代號,客戶簡稱,單據日期,客戶全名,幣別,匯率,報價金額,稅額,總數量,交貨日,業務員,課稅別,確認,客戶確認,價格條件,材積單位,付款條件代號,付款條件名稱,總毛重(Kg),總材積,品    號,品    名,規    格,數量,贈品量,單位,小單位,生效日期,失效日期,允收效期,天(月),單價,金額,分量計價,付款條件_0LD,包裝方式,包裝名稱,毛重(Kg),品號稅別,材積,應稅品未稅金額,免稅品金額, 標準價 ,價格判定
,2122-1141202017,B4763,小小樹食餐廳-敦南店,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202018,B6233,小小樹食0KM,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202019,B6294,小小樹食微風南山店,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202020,G2033,小小樹食勤美術館店,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202021,B6508,小小樹食忠泰店,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202022,B6609,小小樹食-新光店,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202023,B6615,小小樹食大安店,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202024,C2672,路易莎職人咖啡-【麵包一廠】,114/12/02,,NTD,1,"1,600",80,0,訂貨起日內,郭家妤,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101007,日清紫蘿蘭薄力粉25K,25KG/包,1,0,包,,114/12/02,,,,"1,600","1,600",N,,,,0,,0,0,0,"1,750",特殊價
,2122-1141202027,M1170,吳寶春高雄(產品皆須有標示),114/12/02,,NTD,1,"10,900",545,0,訂貨起日內,郭家妤,應稅外加,Y,Y,,,60D,月結60天,0,0,I0599009,Lubeca德國杏仁膏(箱),12.5KG/箱,1,0,箱,,115/01/01,,,,"5,900","5,900",N,,,,0,,0,0,0,"5,900",標準價
,,,,,,,,,,,,,,,,,,,,,,I0599009,Lubeca德國杏仁膏(箱),12.5KG/箱,1,0,箱,,114/12/01,,,,"5,000","5,000",N,,,,0,,0,,,"5,900",特殊價
114/12/31,2122-1141202004,B5779,丸龜製麵(總公司),114/12/31,,NTD,1,"2,093",104.65,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101037,日清特NO.1 25K,25KG/包,1,0,包,,115/03/01,,,,"2,093","2,093",N,,,,0,,0,0,0,"1,950",特殊價
,2122-1141202008,D2293,馬祖新村,114/12/31,,NTD,1,"2,855",142.75,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,Cash,貨到收款,0,0,H0101013,藍鑽BD杏仁角1KG,1KG,1,0,KG,,114/12/02,,,,480,480,N,,,,0,,0,0,0,480,標準價
,,,,,,,,,,,,,,,,,,,,,,H0101013,藍鑽BD杏仁角1KG,1KG,5,0,KG,,114/12/02,,,,475,475,Y,,,,0,,0,,,480,特殊價
,2122-1141202009,B3857,丸龜製麵(新光,114/12/31,,NTD,1,"2,093",104.65,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101037,日清特NO.1 25K,25KG/包,1,0,包,,115/03/01,,,,"2,093","2,093",N,,,,0,,0,0,0,"1,950",特殊價
,2122-1141202010,B5944,長田本庄軒A11          丸龜,114/12/31,,NTD,1,"2,093",104.65,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101037,日清特NO.1 25K,25KG/包,1,0,包,,115/03/01,,,,"2,093","2,093",N,,,,0,,0,0,0,"1,950",特殊價
,2122-1141202011,B6295,長田本庄軒天母店    丸龜,114/12/31,,NTD,1,"2,093",104.65,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101037,日清特NO.1 25K,25KG/包,1,0,包,,115/03/01,,,,"2,093","2,093",N,,,,0,,0,0,0,"1,950",特殊價
,2122-1141202012,B6336,長田本庄軒-南西店     丸龜,114/12/31,,NTD,1,"2,093",104.65,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101037,日清特NO.1 25K,25KG/包,1,0,包,,115/03/01,,,,"2,093","2,093",N,,,,0,,0,0,0,"1,950",特殊價
,2122-1141202013,E2063,馬祖新村 -SOGO巨城店,114/12/31,,NTD,1,"2,855",142.75,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,Cash,貨到收款,0,0,H0101013,藍鑽BD杏仁角1KG,1KG,1,0,KG,,114/12/02,,,,480,480,N,,,,0,,0,0,0,480,標準價
,,,,,,,,,,,,,,,,,,,,,,H0101013,藍鑽BD杏仁角1KG,1KG,5,0,KG,,114/12/02,,,,475,475,Y,,,,0,,0,,,480,特殊價
,2122-1141202014,D2312,馬祖新村 -華泰Outlet店,114/12/31,,NTD,1,"2,855",142.75,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,Cash,貨到收款,0,0,H0101013,藍鑽BD杏仁角1KG,1KG,1,0,KG,,114/12/02,,,,480,480,N,,,,0,,0,0,0,480,標準價
,,,,,,,,,,,,,,,,,,,,,,H0101013,藍鑽BD杏仁角1KG,1KG,5,0,KG,,114/12/02,,,,475,475,Y,,,,0,,0,,,480,特殊價
,2122-1141202025,D2317,馬祖新村 -中壢大江店,114/12/31,,NTD,1,"2,855",142.75,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,Cash,貨到收款,0,0,H0101013,藍鑽BD杏仁角1KG,1KG,1,0,KG,,114/12/02,,,,480,480,N,,,,0,,0,0,0,480,標準價
,,,,,,,,,,,,,,,,,,,,,,H0101013,藍鑽BD杏仁角1KG,1KG,5,0,KG,,114/12/02,,,,475,475,Y,,,,0,,0,,,480,特殊價
,2122-1141202026,D2318,馬祖新村 -中壢SOGO店,114/12/31,,NTD,1,"2,855",142.75,0,訂貨起日內,深川真紀,應稅外加,Y,Y,,,Cash,貨到收款,0,0,H0101013,藍鑽BD杏仁角1KG,1KG,1,0,KG,,114/12/02,,,,480,480,N,,,,0,,0,0,0,480,標準價
,,,,,,,,,,,,,,,,,,,,,,H0101013,藍鑽BD杏仁角1KG,1KG,5,0,KG,,114/12/02,,,,475,475,Y,,,,0,,0,,,480,特殊價
