品號 | SKU,品名 | Product Name,標準售價 | Standard Price | Giá chuẩn,中盤價 | Whole sale price |  Giá sỉ,成箱價 | Price per box
B0901003,烏鶖煉奶370G/罐-規格更正停用,50,0,46.67
B0901004,烏鶖煉奶3.64KG,560,0,0
B0901005,烏鶖煉奶360G/罐(停售),57,0,0
B0902001,飛燕煉乳375G-停止進貨,45,0,0
B0903001,三花加糖煉乳388G-停用,35,0,0
B0904001,北海道煉乳1KG,400,340,395
B0904002,雪印北海道煉乳480G,230,0,0
B1001001,Oatly燕麥奶(原味)(停售),152,0,142.86
B1001002,Oatly燕麥奶(咖啡師),152,0,142.86
B1001003,Oatly燕麥奶(巧克力)(停售),152,0,142.86
B1002001,【停售】杏仁果效果 職人專用杏仁果飲1L,129,110,110
B9901001,三花植物奶水405G,40,0,0
B9901002,西廚奶水380ml(停售),23,0,0
B9902001,雀巢奶精18K(停售),"2,000",0,0
B9904001,寶乳輝雪白油20K-停止進貨停用,"2,000",0,0
C0101001,福壽沙拉油18L(停售),"1,000",0,0
C0101002,福壽香油3L(停售),260,0,0
C0101003,福壽好味香油3L(停用-停止販售),183,0,0
C0101004,福壽調和花生油2L,200,0,0
C0101005,福壽葵花油2L-停止進貨,"1,000",0,0
C0101006,福壽芥花油18L,880,0,0
C0101007,福壽耐炸油18L(停售),550,0,0
C0101008,福壽沙拉油18KG(停用-暫時替用),600,0,0
C0101009,福壽葵花油2L-停止進貨,0,0,0
C0101010,福壽炸酥油18L-廠商贈品已售完停用,0,0,0
C0102001,美食家沙拉油18L,950,0,0
C0102002,美食家耐炸油18L(停售),763,0,0
C0102003,美食家沙拉油3L(停售),180,0,0
C0102004,美食家沙拉油3L(箱)-品號轉換停用,600,0,600
C0102005,美食家大豆沙拉油2L-贈品販售完畢停用,70,0,0
C0102006,美食家好炸油18L-廠商贈品已售完停用,0,0,0
C0103001,義鴻麻油5斤-留最小單位停用,"2,580",0,0
C0103002,義鴻麻油5斤(停售),540,0,0
C0103003,義鴻香油5斤（停售）,490,0,0
C0103004,義鴻香油1斤-停止進貨停用,80,0,0
C0103005,義鴻純茶油-停止進貨停用,500,0,0
C0103006,義鴻麻油1斤-停止進貨停用,90,0,0
C0104001,歐莉金裝特純橄欖油5L-停止進貨停用,"1,250",0,0
C0104002,歐莉金裝特純橄欖油1L-停止進貨停用,250,0,0
C0104003,歐莉初榨橄欖油1L-停止進貨停用,250,0,0
C0104004,滿點橄欖油5L,"1,500",0,0
C0104005,滿點橄欖油1L,320,0,0
C0104006,帆船橄欖油EX 5L,"1,250",0,0
C0104007,帆船橄欖油EX 1L,270,0,0
C0104008,弗朗托亞特純初榨橄欖油500ML-停止進貨停用,0,0,0
C0104009,家傳橄欖油3L,810,0,0
C0104010,O-Med精選特級初榨橄欖油250ML,180,162,175
C0104011,O-Med精選特級初榨橄欖油1000ML,581,476,571
C0104012,O-Med阿貝金納特級初榨橄欖油250ML,180,162,175
C0104013,O-Med阿貝金納特級初榨橄欖油1000ML,580,550,570
C0104014,康迪薩特級初榨橄欖油2.5L,850,740,825
C0104015,康迪薩特級初榨橄欖油1000ML,257,219,247.62
C0104016,O-Med煙燻風味橄欖油250ML,520,440,500
C0104017,O-Med柚香橄欖油250ML,620,480,550
C0104018,O-Med阿貝金納特級初榨橄欖油500ML,429,370,420
C0104019,O-Med精選特級初榨橄欖油500ML,429,370,420
C0104020,康迪薩特級初榨橄欖油250ML,140,120,135
C0104021,O-Med目錄,0,0,0
C0104022,O-Med柚香橄欖油40ML,0,0,0
C0104023,O-Med精選特級初榨橄欖油40ML,0,0,0
C0104024,O-Med阿貝金納特級初榨橄欖油40ML,0,0,0
C0104025,康迪薩特級初榨橄欖油40ML,0,0,0
C0104026,O-Med煙燻風味橄欖油40ML,0,0,0
C0104027,O-Med有機橄欖油250ML,0,0,0
C0104028,康迪薩特級初榨橄欖油5L,"1,671","1,500",1571
C0104029,康迪薩特級初榨橄欖油750ML,380,323,372
C0104030,Molino檸檬風味橄欖油250ML,0,0,0
C0104031,Molino柑橘風味橄欖油250ML,0,0,0
C0104032,Molino羅勒風味橄欖油250ML,0,0,0
C0104033,MAS TARRES西班牙(P.D.O)特級初榨橄欖油 40ML,0,0,0
C0104034,MAS TARRES西班牙(P.D.O)特級初榨橄欖油 250ML,0,0,0
C0104035,康迪薩特級初榨橄欖油 3L,"1,010",859,990
C0104036,康迪薩特級初榨橄欖油500ML,200,170,195
C0105001,小磨香油500G,120,0,0
C0105002,小磨香油3KG(停售),720,0,0
C0106001,角屋調和芝麻油60%-品號停用,0,0,0
C0106002,金子半之助天婦羅油,"2,730",0,0
C0106003,金子半之助天婦羅油（純正）,"4,650",0,0
C0107001,九鬼星印純正胡麻油(淡口)1650G,770,655,710
C0107002,九鬼太白純正胡麻油1650G,850,723,815
C0107003,九鬼太白純正胡麻油1600G(家庭用鐵桶),840,740,0
C0107004,九鬼星印純正胡麻油(濃口)1650G,630,536,580
C0107005,九鬼純正胡麻油(初榨)150G-家庭用,175,120,172
C0107006,九鬼純正胡麻油(初榨)600G,640,375,620
C0107007,九鬼太白純正胡麻油170G-家庭用,115,104,113
C0107008,九鬼金白胡麻油170G,0,0,0
C0107009,九鬼太白純正胡麻油910G,0,0,0
C0107010,九鬼星印胡麻油(和風)150G,0,0,0
C0107011,九鬼星印胡麻油(芳醇)150G,0,0,0
C0107012,九鬼山七胡麻油170G,0,0,0
C0107013,九鬼星印胡麻油(濃口)170G,110,85,0
C0107014,九鬼香辛胡麻辣油45G,135,128,132
C0107015,九鬼胡麻辣油45G,115,104,113
C0107016,九鬼星印辣油F 1650G,700,595,650
C0107017,九鬼星印純正胡麻油芳醇M,900,720,800
C0107018,九鬼星印胡麻油(濃口)170G,95,85,93
C0107019,九鬼一番搾純正胡麻油,221,188,217
C0107020,九鬼一番搾純正胡麻油(停用),131,111,128
C0107021,九鬼芳醇胡麻油,153,124,146
C0107022,九鬼太白純正胡麻油16.5KG,0,0,0
C0108001,粳油100ML-停止進貨停用,22,0,0
C0108002,粳油60ML-停止進貨停用,15,0,0
C0199001,活力鮮超能白油,"2,785",0,0
C0199002,遠東素白油16K-停止進貨停用,"1,300",0,0
C0199003,昭和菜種白絞油,"3,500","3,000",0
C0199004,昭和Premix Oil 150,"2,500",0,0
C0199005,甜甜圈專用炸油16K,"2,400",0,0
C0199007,鳳梨油1K-停止進貨停用,400,0,0
C0199008,苦茶油600ML-停止進貨停用,145,0,0
C0199009,遠東酥油16K-停止進貨停用,"1,000",0,1000
C0199010,特級都寶烤盤油600ML,220,207,0
C0199011,粉末油脂-SN-停止進貨停用,400,0,0
C0199012,坎羅拉油17.3L,"1,350",0,0
C0199013,葡萄籽油1L,0,0,0
C0199014,東遠白松露油,820,0,0
C0199015,J豐年油,0,0,0
C0199016,澳廚芥花油1L-品號重複停用,0,0,0
C0199017,"Auzure澳廚 OMEGA 9芥花油(鐵桶裝,無附水龍頭)20L","2,540",0,0
C0199018,"Auzure澳廚 OMEGA 9芥花油(紙箱裝,附水龍頭)15L","1,860",0,0
C0199019,"Auzure澳廚 經典芥花油(紙箱裝,附水龍頭)15L","1,590",0,0
C0199020,Auzure澳廚 經典芥花油(PET瓶)1L(廠商停售),210,0,0
C0199021,"Auzure澳廚 經典芥花油(鐵桶裝,無附水龍頭)20L","2,150",0,0
C0199022,CHILI OIL手工家傳紅油750ml,700,0,0
C0199023,Auzure澳廚 經典芥花油(PET瓶)2L(原廠停售),305,0,0
C0199024,日本富士山烘焙油脂片 (停止進口),150,135,0
C0199025,乳化油脂-100 (停止進口),"3,360","3,120",0
C0199026,乳化油脂 S (停止進口),"6,435","5,610",0
C0199027,Auzure澳廚 經典芥花油(PET瓶)4L,686,0,0
C0199028,O-Med 白松露橄欖油250ML,600,510,585
C0199029,O-Med 黑松露橄欖油 250ML,600,510,585
C0201001,香里活豬油15KG,"1,550",0,1550
C0201002,香里絞油1K,75,0,0
C0201003,香里中油1K,0,0,0
C0201004,香里中油大皮1K,0,0,0
C0201005,香里豬背油1K,75,0,0
C0299001,美味得精製豬油15K,"1,400",0,0
C0301001,【停售】活力鮮北國796無鹽人造奶油 PL796LTU-T,"2,940",0,0
D0101001,三井製糖三溫糖1K(停用),80,60,75
